source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,g,bp,rp,bp_rp,radial_velocity,radial_velocity_error,ruwe,phi1,phi2,pm_phi1,pm_phi2
1562402380937457664,205.9732538267399,55.67856262597543,-0.0360980794262446,0.25962988,-10.40871011558732,0.2636316,-5.236345597079613,0.28981817,19.62767,19.874407,19.216413,0.6579933,,,1.0087023,43.44645972593594,-4.855692306355359,-11.017674242021124,-3.790965019502172
1572136494817451008,183.86491460334105,52.93815657230165,0.2634659878706945,0.16022204,-4.978246013548204,0.13050644,-7.610391162665245,0.1506458,18.80354,19.087797,18.379871,0.7079258,,,1.0055497,30.34203605588988,-3.620805745126399,-7.869127014598808,-4.55827018158129
1565917386468511104,201.1429133412932,57.128073179698,0.4776263518105603,0.14647512,-7.131774578244232,0.16764721,-2.776609857140343,0.15777755,18.751776,18.988283,18.276907,0.7113762,,,1.0830901,41.05455238781072,-2.972823976525039,-7.551189910022057,-1.24551269621818
1566030941107921408,202.83770023709047,58.0794576108609,-0.0689672780703153,0.19839561,-7.572418212171196,0.20575693,-3.5679952399851094,0.2081713,19.270338,19.529396,18.939154,0.5902424,,,1.1022383,42.13068810485072,-2.2153626915159914,-8.093093875084598,-2.13867696056384
1566175045851087616,199.84274529434376,56.71227030788249,-0.140141668152051,0.46309218,-8.644214572838221,0.5122436,-2.7939165556091954,0.5880842,20.36304,20.566822,19.872972,0.69384956,,,0.9553659,40.27072774721434,-3.2255390189915314,-9.051673191875672,-0.7717692196862476
1572247751650471040,184.7265565263913,53.82956485997061,-0.898775287542464,0.6155453,-5.714278727223636,0.54418993,-5.678708982434804,0.71312815,20.58976,20.733887,20.017815,0.7160721,,,1.0300429,31.19973183273958,-3.050238604628533,-7.624718136489081,-2.600844174240508
1572304754456595328,184.07104133806573,53.976588720247314,0.3426561812946065,0.34006643,-8.610768867263545,0.27839032,-4.4384080256712615,0.28781822,19.803108,20.056665,19.321495,0.73517036,,,1.0054361,30.91807120549402,-2.747527118302541,-9.686547997139058,-0.1248766867730874
1562425887294805888,205.9644769264026,55.98980742623175,-0.157822824885564,0.1632458,-12.734789060323653,0.13421094,-1.7469938971904335,0.17567427,18.76665,19.00314,18.317192,0.6859474,,,1.0610821,43.483513035986846,-4.546606722086717,-12.854043918839,-0.0198751180574824
1562558649027775616,203.8659360793094,55.875621682357234,0.2826849084198028,0.14287366,-7.147401412208363,0.13665253,-3.149900711515772,0.16164187,18.662367,18.904282,18.248367,0.6559143,,,1.0285428,42.30054269696148,-4.482921520415419,-7.571082888697075,-1.9198763845946047
1572805891240557952,185.28129037597736,55.2811269627121,-0.4958614605528086,0.6092804,-6.995827416246585,0.55821836,-4.767837714349484,0.72742885,20.352087,20.504717,19.847984,0.65673256,,,1.0432096,32.120753115019,-1.8824183308126348,-8.366817331030598,-1.2923797651799986
1566592310513568512,198.3257945150948,58.08877411709294,0.2163565809453767,0.757493,-8.183614353797807,0.79055816,-3.3990681221391847,0.93748283,20.7128,20.943253,20.144396,0.79885674,,,0.9967321,39.80192219751577,-1.694837032691182,-8.770421367699084,-1.2668531973498944
1572862172491599744,184.37044258733567,55.542382406749205,0.3312548556343327,0.11309573,-6.729657097393027,0.11588684,-6.467245763129878,0.10721209,18.267784,18.549849,17.83899,0.7108593,,,1.0575804,31.76939048679219,-1.4217108248914678,-8.89626467533543,-2.823123666365438
1562668565830647552,205.24973116345325,56.73219780661948,0.2498244355438061,0.09653167,-7.984694791357509,0.09499326,-6.933636920845506,0.10449629,18.1229,18.37816,17.66529,0.71286964,,,1.0726763,43.19441140651983,-3.756193793263372,-8.905823405379817,-5.702366292464275
1562184334038022656,203.56464426731625,55.73987687455613,-1.1724500917334035,0.75889766,-9.81068778708334,0.93650573,-6.8560879141478,1.8063465,20.655146,20.909048,20.065685,0.8433628,,,1.0591321,42.11020358060413,-4.588242354448639,-10.836141145938294,-5.082674631279563
1573294899036976000,180.05127314416382,54.82459864894532,0.1502676002995543,0.15599407,-7.68988733862739,0.14126319,-7.172049042724376,0.14546776,18.767792,19.020292,18.380749,0.63954353,,,1.0417894,29.255566685079817,-0.8950958111072358,-10.239518696264186,-2.392678754217057
1562447632713367808,206.2638067085588,56.3182641869376,-0.1287997731265922,0.92058814,-11.488379188234632,1.0936828,-7.232993959335067,1.0504912,20.755003,20.946486,19.95584,0.99064636,,,0.9699811,43.69276812290504,-4.243049884365919,-12.330029433202167,-5.680618994863899
1562460448895781888,206.15291251440132,56.35757902122911,0.968092214650034,0.60595316,-11.035952922027512,0.7030318,-6.656165039916021,0.999093,20.503777,20.763897,19.816359,0.9475384,,,0.9534134,43.63681108284461,-4.196042177116182,-11.815237400815784,-5.147519314987724
1562508999205711744,204.95407794781565,55.72322849190516,0.7315195286181283,0.41180986,-7.672726569207736,0.3927215,-2.249324895511154,0.43617782,20.137669,20.414701,19.668447,0.74625397,,,0.9571325,42.88233409815419,-4.729933192122111,-7.92295201446552,-1.0756518339450465
