source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,g,bp,rp,bp_rp,radial_velocity,radial_velocity_error,ruwe,phi1,phi2,pm_phi1,pm_phi2,distance
6583442385182112000,318.2592655480263,-38.97853629611568,0.2940414416223643,0.111487,-3.20728033100209,0.09696284,-3.986590217369594,0.09468101,17.607166,17.93782,17.10334,0.8344803,,,1.0205275,-21.80901176136365,1.2696399377370948,-4.448981729662235,2.5270754345668927,3.400881163153506
6583366999915698048,319.35305074424895,-38.75372728526192,0.2946281311622543,0.2115986,-1.007734429010979,0.18723436,-4.134479722500354,0.18563713,18.67626,19.025217,18.13968,0.8855362,,,0.99785155,-21.455485283548967,0.462879503999853,-4.238209678978223,0.3834448750420299,3.39410902840534
6583638205627671552,319.0346122934626,-38.080252580613056,0.3004689614678317,0.09697325,5.138278927872653,0.08790657,-4.491237097110066,0.09184388,17.372536,17.695753,16.894354,0.80139923,,,1.013667,-20.82700128407771,0.810548718478703,-3.660394666675343,-5.7597423455613415,3.328130783009547
6583578003069165184,318.9705037561127,-38.390367282837495,0.300074548712835,0.19661586,2.442849232549301,0.16739671,-4.79407645017493,0.17064835,18.547499,18.973383,17.974613,0.99876976,,,0.99845517,-21.141198119573232,0.8131897733405811,-4.365926224505534,-3.144736806994097,3.3325052200844225
6583450807614694144,318.4445006597296,-38.840878100845615,0.2963341888164917,0.10056767,4.392338042279237,0.09099041,-4.038179719573414,0.09040402,17.497252,17.840649,17.017319,0.8233299,,,0.9919908,-21.65012746320832,1.1492546721700885,-3.2926292705329105,-4.9757533512079695,3.3745684357037224
6583521966632835328,318.1363315317517,-38.43631218552814,0.2940341796031063,0.10237544,3.247419864170348,0.093924545,-2.5997294839693774,0.08603105,17.644184,17.97684,17.162031,0.8148079,,,1.0272034,-21.289120503031427,1.451506168578336,-2.041729793862132,-3.624316295921693,3.400965157689564
6583984959810909184,319.9535736643697,-37.708058991214735,0.297382117371313,0.36192033,-7.38966026216594,0.32291758,-6.725677242479256,0.30015936,19.3465,19.757187,18.854055,0.9031315,,,0.9818762,-20.352450725133902,0.1477916319002774,-7.7054511999226305,6.361433404968463,3.362676978829209
6774154601165299712,317.483887362838,-38.91224422927033,0.2937954661390335,0.16598207,2.2075161401757804,0.13142572,-2.7379466691997907,0.11666071,17.98635,18.290068,17.515951,0.7741165,,,1.014305,-21.84279671086847,1.8753768939443107,-2.326469477364176,-2.63761620472192,3.403728495683346
6775684232294389120,317.6899948518833,-38.381133264215634,0.2966713901171038,0.10240134,7.035673103234956,0.105186634,-3.4982385999375083,0.08814936,17.648354,18.00006,17.160614,0.8394451,,,0.993234,-21.291951588812537,1.805569367644157,-2.2808952694801574,-7.519034917284239,3.3707328489116337
6775670758981168640,317.8000657776494,-38.4975822287968,0.2947321919308587,0.14932214,-0.7351982841424007,0.1346316,-5.74125412771741,0.1312998,18.200487,18.550623,17.679668,0.8709545,,,1.0409456,-21.392567496802315,1.7012655881079186,-5.783871671970835,-0.2221349999694175,3.3929106740894808
6775780400905556608,317.9923837200407,-37.66683205388864,0.2957954562151104,0.25197965,-2.4988649051425025,0.22661053,-7.303645698464139,0.21588384,18.963295,19.352936,18.315853,1.0370827,,,1.0055231,-20.547873850889744,1.6879685018617825,-7.612659594654882,1.2786634423317014,3.380714541040053
6775666876330716160,317.7967045277365,-38.60109461775324,0.2959173281135642,0.13159792,1.3858754167356595,0.124285415,-8.837494640321095,0.10954196,17.908356,18.202589,17.461576,0.7410126,,,1.0121539,-21.49513914914473,1.6867750582783332,-8.4874665599546,-2.825751861375795,3.379322212642546
6775778343617924352,317.8622624595826,-37.67319042992172,0.2972262175238074,0.19433875,2.452793334643261,0.17156173,-7.718279547913415,0.1613714,18.40592,18.77387,17.863884,0.9099865,,,1.0523771,-20.57096762523844,1.7885463476872328,-7.211891455608269,-3.68465140206416,3.364440756037618
6775817410640195072,318.7846482120078,-37.6136594941205,0.2951077262241461,0.09575245,-2.603861638645684,0.09016686,-11.251056469986148,0.08431102,17.471151,17.789215,16.986437,0.80277824,,,1.0236118,-20.396005767633028,1.0769371780537351,-11.51793551423732,0.8387661258649527,3.388593083599784
6775679181412837632,317.8648506009783,-38.34872278875383,0.2965239491077546,0.112610325,3.2059243030419275,0.10330342,-3.522857317137216,0.10088793,17.794275,18.10313,17.303135,0.7999954,,,1.0176241,-21.23731660444457,1.6757057813447087,-2.948555051654277,-3.740922001473185,3.372408883022826
6584116626328153088,319.9778330552455,-36.61307745535061,0.2981666556655403,0.13919778,14.068783775517815,0.11537733,-6.424948205979229,0.11588844,17.989923,18.299053,17.535295,0.7637577,,,0.94215596,-19.26575986567383,0.283727610281221,-4.370205022086895,-14.836170140461306,3.3538290784658384
6583696819044804992,319.0934347492364,-37.34155384975693,0.298887009434885,0.12977389,-2.008406384337108,0.12483934,-6.525497152187377,0.118543565,17.846525,18.198631,17.346493,0.8521385,,,1.0179889,-20.089678731439,0.8762337710400406,-6.753727698747752,1.001484627450173,3.3457459455689667
6584072886380780160,319.4462970835914,-37.15232585408795,0.2949784942076104,0.13564141,-0.5170793250968928,0.13191508,-8.722802356601452,0.11823071,17.920769,18.275745,17.41733,0.8584156,,,1.011933,-19.860712228399223,0.6266543681906255,-8.704014641226221,-0.7712205301300561,3.390077648495231
6584246746657264000,320.45865403396203,-36.13124071816044,0.2985352134395097,0.19922175,6.611865162151446,0.17523672,-1.5483192294700583,0.16358162,18.592962,19.033844,18.028643,1.0052013,,,0.9959185,-18.734794766031143,-0.0326993877888602,-0.6312455472745286,-6.761329929670994,3.349688596124771
6775876058417446912,318.828183569975,-36.88204918805466,0.2974186265147227,0.21279992,-8.690091682752618,0.19173032,-6.9739747322380135,0.17711121,18.599297,18.888348,18.159603,0.7287445,,,0.95281506,-19.6676295388566,1.1551932282566524,-8.224632766308702,7.517275628836669,3.3622641988446493
6775823110060316928,318.6643390133298,-37.43697117864849,0.3016232370528624,0.12845208,-7.657577784928389,0.105684005,-18.367602360195704,0.10879822,17.916677,18.165092,17.448467,0.7166252,,,0.991026,-20.236176586405747,1.1985412067432195,-19.33410294796209,4.711663951524868,3.3153944297227347
6776414784755248384,320.3866192195769,-35.773224581061015,0.2997758806532811,0.12135617,-3.060104343218992,0.1060785,-6.136857889813376,0.111335866,17.801489,18.108444,17.318497,0.7899475,,,0.99553853,-18.38812965033992,0.0740678405035296,-6.4987544047865455,2.188939135156545,3.335825410038888
6776135268282975744,318.39678938533103,-36.43606249804823,0.2980275964404429,0.20510088,0.1747695306091325,0.19215678,-11.12931098980135,0.18122935,18.509615,18.860601,18.009851,0.85074997,,,0.94146556,-19.28080031687358,1.5664253209827277,-10.962487998235098,-1.927683683879145,3.3553939700340383
